,send_dm1,send_dm2,send_dm3
0,0.73748113,0.13125943,0.13125943
1,0.73748113,0.13125943,0.13125943
2,0.73748113,0.13125943,0.13125943
3,0.73748113,0.13125943,0.13125943
4,0.73748113,0.13125943,0.13125943
5,0.73748113,0.13125943,0.13125943
6,0.73748113,0.13125943,0.13125943
7,0.73748113,0.13125943,0.13125943
8,0.73748113,0.13125943,0.13125943
9,0.73748113,0.13125943,0.13125943
10,0.73748113,0.13125943,0.13125943
11,0.73748113,0.13125943,0.13125943
12,0.73748113,0.13125943,0.13125943
13,0.73748113,0.13125943,0.13125943
14,0.73748113,0.13125943,0.13125943
15,0.73748113,0.13125943,0.13125943
